"id","v1","v2","v3","v4","v5","price","v6","v7","v8","zipcode","income","population"
1,2,2,1,0,3,279,0,1,9,91342,19296,89686
6,2,2,1,0,2,384,0,1,10,95843,24008,46775
9,2,2,1,0,2,225,0,1,3,90003,9963,66200
16,2,2,1,0,3,217,0,1,4,92804,19920,84648
18,2,2,1,6,0,433,0,1,7,95382,27825,36860
19,2,1,1,0,4,85,0,1,7,91765,34785,47273
21,1,3,1,0,5,124,0,5,7,94122,41196,57369
23,1,3,1,0,4,78,0,1,1,96150,25479,28686
26,1,2,1,0,3,234,0,1,8,90047,19552,47533
29,2,2,1,0,3,181,0,1,4,90802,32208,39297
32,2,1,1,0,7,200,0,1,8,92555,22901,39748
33,2,1,1,0,3,124,0,1,4,94709,36941,12360
37,2,2,1,0,3,157,0,1,9,91301,51578,26218
39,2,1,1,0,4,112,0,1,4,92354,30937,21427
40,2,2,3,2,2,279,0,1,8,90716,14430,14280
41,2,1,1,0,4,166,0,1,8,95758,28949,61155
45,2,1,1,0,4,110,0,1,9,90640,20986,63016
48,2,2,1,0,2,172,0,1,4,94085,36586,23476
49,2,1,1,0,8,101,0,1,7,95757,26032,42752
54,1,2,1,0,3,112,0,3,9,90266,81090,35324
55,2,2,1,0,3,140,0,1,3,90032,17020,47784
58,2,1,1,0,5,180,0,1,3,92656,44160,50820
61,1,2,1,0,3,131,0,1,9,95971,27042,5639
62,2,2,1,6,3,132,6,4,7,97211,29956,32376
63,2,2,1,0,4,304,0,2,10,90025,49246,43555
64,2,2,1,0,5,81,0,1,8,92802,18443,42502
65,2,2,1,0,3,141,0,1,8,95134,51672,15517
67,1,2,1,0,2,215,0,1,7,90022,12785,70147
69,2,2,3,0,4,228,0,1,7,94612,28528,13816
70,1,1,1,0,4,117,0,1,8,90813,12700,59178
72,2,1,1,0,8,157,0,5,8,90631,26990,68065
73,2,-1,3,0,0,200,0,1,7,98122,43230,32722
79,2,1,1,0,6,134,0,1,9,92114,18544,68160
82,1,1,2,6,4,82,8,5,8,97222,25379,35108
94,2,1,1,0,4,156,0,1,7,91304,25531,53194
96,1,2,1,0,3,107,0,1,9,90026,24415,68726
97,2,-1,1,0,2,200,0,1,8,97401,23892,40482
102,2,2,1,6,0,447,0,1,4,94118,56817,40292
104,2,1,1,0,4,131,0,1,9,94402,61937,23289
106,1,2,1,0,2,367,0,1,9,90019,25568,65408
107,2,2,1,0,3,64,0,1,3,93033,15401,81644
108,1,2,1,0,3,443,0,2,7,91205,19666,38504
109,2,1,3,0,0,68,0,1,8,93021,35680,35847
110,2,1,1,7,4,200,0,1,9,98007,38335,24926
112,2,1,1,0,7,125,0,1,6,92648,50941,45598
114,2,1,3,0,4,151,0,1,3,95926,23678,37747
115,2,2,1,0,4,129,0,1,7,90278,49391,40574
116,2,2,1,0,5,101,0,1,8,94043,53373,28189
118,2,2,1,6,0,34,0,1,8,95050,34522,37057
120,2,2,1,6,0,191,0,1,8,98122,43230,32722
123,2,2,1,0,5,91,0,1,8,92154,18071,84060
125,2,2,1,0,3,270,0,1,7,91343,21048,62321
126,2,2,1,0,5,171,0,1,10,91602,47889,17771
127,1,2,1,0,7,192,0,1,8,91321,26453,35243
128,2,2,1,4,6,142,7,1,8,99354,31510,22294
130,2,2,3,7,3,131,7,3,6,97062,33260,27625
133,2,2,3,0,3,256,0,1,8,90046,54707,50499
136,2,1,1,0,3,114,0,1,7,94118,56817,40292
140,2,2,1,0,5,152,0,1,4,90291,59717,27253
142,1,2,3,0,2,195,0,1,6,90019,25568,65408
143,1,1,3,0,0,62,0,1,8,94707,70264,12324
144,2,1,1,2,3,146,6,5,2,99224,32267,20500
149,2,2,1,6,0,34,0,1,8,94546,35705,42650
151,2,2,1,0,2,83,0,1,8,96150,25479,28686
155,1,2,1,0,4,133,0,1,7,94591,30470,53548
156,1,3,1,0,5,224,0,1,4,91401,25395,39466
157,2,2,1,0,4,120,0,1,9,92374,26350,40605
158,2,2,1,0,3,108,0,3,7,94158,62385,5219
159,2,2,1,6,0,397,0,1,4,91362,52738,35093
164,1,2,1,2,4,299,0,1,2,97230,22524,40197
165,2,-1,1,0,2,200,0,1,8,97236,20016,37033
167,1,2,3,0,5,75,0,1,3,91730,25825,66362
170,2,1,3,0,4,68,0,1,8,95035,33711,68178
171,2,2,1,7,3,193,0,5,7,97405,33708,44220
173,1,2,1,0,2,217,0,1,10,95926,23678,37747
175,1,2,2,4,6,131,6,4,1,97301,16057,55437
176,2,2,3,0,5,130,0,1,9,91304,25531,53194
177,2,2,1,0,2,97,0,3,7,94550,46154,47648
178,2,3,1,0,4,178,0,1,9,94304,81131,3797
179,2,2,1,7,3,191,0,1,8,98007,38335,24926
180,2,2,1,0,5,200,0,1,9,92108,40772,18794
181,2,2,1,6,0,440,0,1,9,94118,56817,40292
184,2,1,1,0,3,147,0,3,7,93405,16090,33567
186,2,1,1,0,6,234,0,1,5,92301,11131,32222
187,1,1,1,0,3,200,0,1,7,94110,46951,72128
191,2,-1,3,0,0,200,0,1,8,94115,67897,33782
192,1,2,1,2,3,167,3,1,3,98632,23297,48786
195,2,2,1,0,2,158,0,1,4,92705,39826,45815
199,1,3,1,7,7,104,8,2,8,97477,20286,36962
200,1,2,1,0,5,146,0,1,3,95219,38765,27686
210,2,2,1,0,3,96,0,1,8,94122,41196,57369
213,1,-1,1,2,4,200,0,1,7,97027,26579,12434
215,2,2,1,0,6,155,0,1,4,90292,75095,21536
217,2,1,1,0,3,150,0,1,5,92801,18703,62859
225,2,-1,1,0,3,200,0,1,6,94112,25842,82726
227,1,2,1,0,3,245,0,1,7,90028,25363,28151
228,2,3,1,0,3,200,0,1,8,92802,18443,42502
234,2,2,1,6,0,35,0,1,8,94133,45147,27970
236,2,-1,1,0,5,200,0,1,7,94601,16215,49279
238,2,1,2,7,5,104,7,3,4,98057,30172,10875
240,2,1,3,0,0,88,0,1,8,92782,46067,22889
242,2,2,1,0,4,134,0,5,6,94606,21747,36214
243,2,2,1,0,2,120,0,1,3,93308,22646,53639
247,2,2,3,0,0,162,0,1,8,94109,58033,55519
249,1,2,1,0,4,126,0,1,8,91505,37497,31636
250,2,2,3,0,4,80,0,1,8,90027,37227,45942
252,2,2,1,0,4,146,0,1,8,91030,47043,25747
253,2,2,1,0,3,180,0,1,9,90042,22288,60623
254,2,2,1,0,2,121,0,3,9,95673,21943,15430
255,2,2,1,6,3,185,4,1,2,98133,29390,46405
