id,v1,v2,v3,v4,v5,price,v6,v7,v8,zipcode,made_purchase
17255,2,2,1,0,4,162,0,1,8,90275,1
47298,2,2,1,7,3,92,8,3,7,98133,1
24538,2,2,1,2,5,286,3,2,6,97266,1
52979,2,2,1,0,5,69,0,1,3,90804,1
56425,2,2,1,0,2,212,0,1,8,94608,1
2734,2,1,3,0,0,106,0,1,8,90401,0
31684,2,-1,1,0,3,200,0,1,8,98550,0
53539,1,2,1,0,2,223,0,1,7,90715,0
33082,2,1,1,0,3,64,0,5,7,90808,1
27393,1,2,1,0,3,146,0,1,8,90046,1
57401,1,2,1,0,4,273,0,5,9,90038,1
27196,2,1,1,0,4,101,0,1,5,94115,0
40647,2,-1,1,0,3,200,0,1,10,94538,0
34351,2,1,3,0,4,151,0,1,8,94080,1
6175,1,2,1,0,2,346,0,1,7,90650,0
53977,2,2,1,6,0,605,0,1,4,94122,0
14762,1,2,1,0,4,230,0,1,8,90212,1
2523,2,1,1,0,4,78,0,1,9,90277,0
19670,1,1,1,0,4,200,0,1,8,95116,0
57253,2,2,1,0,3,186,0,1,4,96002,1
53355,2,2,1,0,4,195,0,5,8,90069,1
41554,2,-1,1,0,8,200,0,1,4,98092,0
38417,1,3,1,0,3,197,0,1,9,90247,0
59634,2,2,1,0,5,148,0,1,10,91601,0
39327,2,2,3,0,4,108,0,1,3,92504,1
42495,2,2,1,0,3,211,0,1,2,94112,0
32630,1,2,3,0,3,144,0,1,8,94530,1
35633,2,1,1,0,3,187,0,1,8,93550,1
17342,1,2,1,3,3,242,3,2,3,97302,1
8823,2,1,2,4,6,72,8,4,4,97405,0
57753,2,1,1,0,4,82,0,1,9,91403,0
54110,1,2,1,0,3,200,0,1,9,90066,0
41421,2,2,1,0,3,140,0,5,8,95008,1
47702,2,2,1,0,2,536,0,1,8,91306,1
1476,2,2,1,0,3,195,0,1,8,90029,0
28652,2,2,1,0,3,129,0,1,9,91786,0
45481,2,1,1,0,3,156,0,1,7,92104,1
12977,2,1,1,0,4,200,0,1,2,94118,0
19079,1,3,1,2,7,103,7,1,6,97416,0
13889,2,1,1,7,3,147,7,1,8,98004,0
8563,2,2,1,6,3,108,7,5,4,97214,0
24856,2,1,1,5,3,199,6,3,4,98208,1
24807,2,1,1,0,5,134,0,2,7,95838,1
22115,1,2,1,4,3,192,4,2,3,98004,0
9140,2,2,1,7,5,111,7,5,7,97212,1
8323,2,2,3,0,3,162,0,1,8,90014,1
