id,v1,v2,v3,v4,v5,price,v6,v7,v8,zipcode,made_purchase,income,population
17255,2,2,1,0,4,162,0,1,8,90275,1,57705,42051
47298,2,2,1,7,3,92,8,3,7,98133,1,29390,46405
24538,2,2,1,2,5,286,3,2,6,97266,1,17844,33933
52979,2,2,1,0,5,69,0,1,3,90804,1,21348,40472
56425,2,2,1,0,2,212,0,1,8,94608,1,36714,26288
2734,2,1,3,0,0,106,0,1,8,90401,0,56695,6821
31684,2,-1,1,0,3,200,0,1,8,98550,0,20593,11616
53539,1,2,1,0,2,223,0,1,7,90715,0,23697,20953
33082,2,1,1,0,3,64,0,5,7,90808,1,40604,40016
27393,1,2,1,0,3,146,0,1,8,90046,1,54707,50499
57401,1,2,1,0,4,273,0,5,9,90038,1,21486,29836
27196,2,1,1,0,4,101,0,1,5,94115,0,67897,33782
40647,2,-1,1,0,3,200,0,1,10,94538,0,34237,61784
34351,2,1,3,0,4,151,0,1,8,94080,1,31603,65200
6175,1,2,1,0,2,346,0,1,7,90650,0,19449,105940
53977,2,2,1,6,0,605,0,1,4,94122,0,41196,57369
14762,1,2,1,0,4,230,0,1,8,90212,1,61224,12510
2523,2,1,1,0,4,78,0,1,9,90277,0,59837,34635
19670,1,1,1,0,4,200,0,1,8,95116,0,17323,51010
57253,2,2,1,0,3,186,0,1,4,96002,1,22140,33730
53355,2,2,1,0,4,195,0,5,8,90069,1,82072,20731
41554,2,-1,1,0,8,200,0,1,4,98092,0,31881,39964
38417,1,3,1,0,3,197,0,1,9,90247,0,20588,47361
59634,2,2,1,0,5,148,0,1,10,91601,0,28040,37807
39327,2,2,3,0,4,108,0,1,3,92504,1,22051,54221
42495,2,2,1,0,3,211,0,1,2,94112,0,25842,82726
32630,1,2,3,0,3,144,0,1,8,94530,1,44209,24101
35633,2,1,1,0,3,187,0,1,8,93550,1,14144,74561
17342,1,2,1,3,3,242,3,2,3,97302,1,29610,37969
8823,2,1,2,4,6,72,8,4,4,97405,0,33708,44220
57753,2,1,1,0,4,82,0,1,9,91403,0,56485,23672
54110,1,2,1,0,3,200,0,1,9,90066,0,39987,59031
41421,2,2,1,0,3,140,0,5,8,95008,1,44023,45187
47702,2,2,1,0,2,536,0,1,8,91306,1,22708,47879
1476,2,2,1,0,3,195,0,1,8,90029,0,18428,40208
28652,2,2,1,0,3,129,0,1,9,91786,0,23292,51381
45481,2,1,1,0,3,156,0,1,7,92104,1,30633,45471
12977,2,1,1,0,4,200,0,1,2,94118,0,56817,40292
19079,1,3,1,2,7,103,7,1,6,97416,0,14899,925
13889,2,1,1,7,3,147,7,1,8,98004,0,66689,30072
8563,2,2,1,6,3,108,7,5,4,97214,0,36227,24072
24856,2,1,1,5,3,199,6,3,4,98208,1,29918,52683
24807,2,1,1,0,5,134,0,2,7,95838,1,14666,35584
22115,1,2,1,4,3,192,4,2,3,98004,0,66689,30072
9140,2,2,1,7,5,111,7,5,7,97212,1,45848,24433
8323,2,2,3,0,3,162,0,1,8,90014,1,27661,6008
13972,2,1,3,6,5,128,7,1,7,98199,1,58018,20623
27936,2,1,1,0,6,92,0,3,6,93723,0,25516,8809
15946,1,2,1,0,4,147,0,1,8,94582,0,53277,38928
51428,1,3,1,0,4,206,0,5,8,92867,1,31056,44148
2748,2,2,1,0,2,201,0,3,9,90024,1,40289,50964
26510,2,2,1,6,0,152,0,1,8,98112,0,71159,21622
47894,2,2,1,0,3,201,0,1,2,95833,0,26545,38264
7308,2,1,1,0,6,92,0,1,5,91010,0,23264,24708
33627,2,2,1,6,0,34,0,1,8,92103,0,50933,31064
12381,1,1,1,0,4,139,0,1,4,92672,0,42606,35224
7645,2,2,1,0,3,108,0,1,8,93635,0,17620,38929
45156,2,2,1,6,0,35,0,1,8,94107,0,71298,27856
53651,1,3,1,0,6,118,0,1,6,91304,0,25531,53194
22446,2,2,2,3,6,278,5,1,8,98031,0,25080,35936
39868,2,1,1,7,3,177,4,1,4,98007,0,38335,24926
5685,2,1,1,0,4,105,0,1,7,94588,0,49641,30949
23015,1,2,3,0,6,57,0,1,3,94605,0,27024,42639
16446,2,2,1,0,2,155,0,1,7,94110,0,46951,72128
48827,2,2,3,0,8,169,0,1,8,92585,0,21108,19222
26882,2,2,1,6,4,241,0,1,8,97001,0,14083,306
48551,2,2,1,0,3,192,0,5,7,94132,0,31418,31080
48689,2,3,1,0,8,152,0,1,8,93117,0,22722,54251
47607,1,2,3,0,4,70,0,1,5,95832,0,13241,12051
